aircraft_Id; maximum_temperature_deviation_in_flight; minimum_temperature_deviation_in_flight; maximum_temperature_deviation_in_TOLD; minimum_temperature_deviation_in_TOLD
A330-243;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 34.5|41100.0 : 24.5|41500.0 : 23.7;-2000.0 : -81.0|0.0 : -77.0|32500.0 : -30.6|36089.0 : -23.5|41500.0 : -23.5;-2000.0 : 36.0|0.0 : 40.0|14600.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|14600.0 : -18.1
F70;0.0 : 30.0|2524.0 : 35.0|35000.0 : 35.0;0.0 : -69.0|35000.0 : -15.7;0.0 : 30.0|2524.0 : 35.0|8000.0 : 35.0;0.0 : -69.0|8000.0 : -56.9
B712HGW21;-2000.0 : 31.0|0.0 : 35.0|36089.0 : 34.5|37000.0 : 33.5;-2000.0 : -73.0|0.0 : -69.0|36089.0 : -18.5|37000.0 : -19.5;-2000.0 : 31.0|2500.0 : 40.0|8500.0 : 40.0;-2000.0 : -73.0|8500.0 : -52.0
A380-841;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 35.0|43100.0 : 21.1;-2000.0 : -73.0|25000.0 : -36.5|32500.0 : -30.6|36089.0 : -23.5|43100.0 : -23.5;-2000.0 : 36.0|0.0 : 40.0|10000.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|10000.0 : -37.5
B762GE50;-1000.0 : 37.4|0.0 : 39.4|10000.0 : 39.4|10001.0 : 33.9|36089.0 : 33.9|43100.0 : 20.0;-1000.0 : -71.0|0.0 : -69.0|25000.0 : -36.5|35000.0 : -19.5|36089.0 : -17.5|43100.0 : -17.5;-1000.0 : 37.4|0.0 : 39.4|8500.0 : 39.4;-1000.0 : -71.0|0.0 : -69.0|8500.0 : -52.1
A319;-2000.0 : 36.0|0.0 : 40.0|14100.0 : 40.0|14101.0 : 35.0|36089.0 : 35.0|39800.0 : 27.6;-2000.0 : -73.0|18246.0 : -32.9|36089.0 : -11.2|39100.0 : -13.5|39800.0 : -14.0;-2000.0 : 36.0|0.0 : 40.0|14100.0 : 40.0;-2000.0 : -73.0|14100.0 : -41.1
A318;-2000.0 : 36.0|0.0 : 40.0|14100.0 : 40.0|14101.0 : 35.0|36089.0 : 35.0|39800.0 : 27.6;-2000.0 : -73.0|18246.0 : -32.9|36089.0 : -11.2|39100.0 : -13.5|39800.0 : -14.0;-2000.0 : 36.0|0.0 : 40.0|14100.0 : 40.0;-2000.0 : -73.0|14100.0 : -41.1
B789RR64;-2000.0 : 35.04|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|43100.0 : 20.0;-2000.0 : -81.0|0.0 : -77.0|32808.0 : -30.0|36089.0 : -23.5|43100.0 : -23.5;-2000.0 : 35.04|0.0 : 39.4|8500.0 : 39.4;-2000.0 : -73.0|6500.0 : -56.0|8500.0 : -43.0
EMB-195STD;-1000.0 : 35.0|41000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5|36089.0 : -8.5|41000.0 : -8.5;-1000.0 : 35.0|10000.0 : 35.0;-1000.0 : -57.0|10000.0 : -35.2
B73423;-1000.0 : 37.4|0.0 : 39.4|8500.0 : 39.4|8501.0 : 34.0|37000.0 : 34.0;-1000.0 : -71.0|0.0 : -69.0|1.0 : -89.0|36089.0 : -17.5|41000.0 : -17.5;-1000.0 : 37.4|0.0 : 39.4|8500.0 : 39.4;-1000.0 : -71.0|8500.0 : -52.0
B763;-1000.0 : 37.4|0.0 : 39.4|10000.0 : 39.4|10001.0 : 33.9|36089.0 : 33.9|43100.0 : 20.0;-1000.0 : -71.0|0.0 : -69.0|25000.0 : -36.5|35000.0 : -19.5|36089.0 : -17.5|43100.0 : -17.5;-1000.0 : 37.4|0.0 : 39.4|8500.0 : 39.4;-1000.0 : -71.0|0.0 : -69.0|8500.0 : -52.1
B744GE;-2000.0 : 35.04|0.0 : 39.4|14000.0 : 39.4|14001.0 : 33.74|36089.0 : 33.74|44000.0 : 16.5|45100.0 : 16.5;-2000.0 : -72.96|20000.0 : -29.38|40000.0 : -23.5|45100.0 : -23.5;-2000.0 : 35.04|0.0 : 39.4|10000.0 : 39.4;-2000.0 : -72.96|10000.0 : -49.2
ATR72-210;-1000.0 : 33.0|0.0 : 35.0|25000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5;-1000.0 : 33.0|0.0 : 35.0|8500.0 : 35.0;-1000.0 : -52.0|8500.0 : -33.2
B753RR;-2000.0 : 35.5|0.0 : 39.4|10000.0 : 39.4|10001.0 : 34.0|36089.0 : 34.0|42000.0 : 22.25;-2000.0 : -81.0|0.0 : -77.0|32500.0 : -24.75|42000.0 : -17.75;-2000.0 : 35.5|0.0 : 39.4|9500.0 : 39.4;-2000.0 : -73.0|9500.0 : -50.0
B764;-1000.0 : 37.4|0.0 : 39.4|10000.0 : 39.4|10001.0 : 33.9|36089.0 : 33.9|43100.0 : 20.0;-1000.0 : -71.0|0.0 : -69.0|25000.0 : -36.5|35000.0 : -19.5|36089.0 : -17.5|43100.0 : -17.5;-1000.0 : 37.4|0.0 : 39.4|8500.0 : 39.4;-1000.0 : -71.0|0.0 : -69.0|8500.0 : -52.1
B762;-1000.0 : 37.4|0.0 : 39.4|10000.0 : 39.4|10001.0 : 33.9|36089.0 : 33.9|43100.0 : 20.0;-1000.0 : -71.0|0.0 : -69.0|25000.0 : -36.5|35000.0 : -19.5|36089.0 : -17.5|43100.0 : -17.5;-1000.0 : 37.4|0.0 : 39.4|8500.0 : 39.4;-1000.0 : -71.0|0.0 : -69.0|8500.0 : -52.1
A310;-1000.0 : 38.0|0.0 : 40.0|10000.0 : 41.8|10001.0 : 34.8|36089.0 : 34.5|41100.0 : 24.5;-1000.0 : -57.0|36089.0 : -10.8|41100.0 : -14.5;-1000.0 : 38.0|0.0 : 40.0|8500.0 : 41.5;-1000.0 : -57.0|8500.0 : -45.2
EMB-145ER;-1000.0 : 35.0|37000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5|36089.0 : -7.7|37000.0 : -8.5;-1000.0 : 35.0|8000.0 : 35.0;-1000.0 : -57.0|8000.0 : -39.2
A320-271N;-2000.0 : 36.0|0.0 : 40.0|16600.0 : 40.0|16601.0 : 35.0|36089.0 : 34.8|39800.0 : 27.4|41100.0 : 24.8;-2000.0 : -73.0|25000.0 : -36.5|35000.0 : -19.7|36089.0 : -17.5|41100.0 : -17.5;-2000.0 : 36.0|0.0 : 40.0|14500.0 : 40.0;-2000.0 : -73.0|6000.0 : -57.1|14500.0 : -15.2
ATR72-600;-1000.0 : 33.0|0.0 : 35.0|25000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5;-1000.0 : 33.0|0.0 : 35.0|8500.0 : 35.0;-1000.0 : -52.0|8500.0 : -33.2
E45X;-1000.0 : 35.0|37000.0 : 35.0;-1000.0 : -71.0|25000.0 : -19.5|36089.0 : -7.7|37000.0 : -8.5;-1000.0 : 35.0|10000.0 : 35.0;-1000.0 : -57.0|10000.0 : -35.2
ATR42-320;-1000.0 : 35.0|25000.0 : 35.0;-1000.0 : -56.0|5000.0 : -44.1|11100.0 : -47.0|25000.0 : -19.5;-1000.0 : 35.0|8500.0 : 35.0;-1000.0 : -56.0|5000.0 : -44.1|8500.0 : -45.8
